Name,Revenue,Year,Universe
Avengers: Endgame,2799.44,2019,Marvel
Avengers: Infinity War,2048.36,2018,Marvel
Spider-Man: No Way Home,1926.9,2021,Marvel
The Avengers,1518.81,2012,Marvel
Avengers: Age of Ultron,1402.81,2015,Marvel
Black Panther,1346.91,2018,Marvel
Deadpool & Wolverine,1338.07,2024,Marvel
Incredibles 2,1242.81,2018,Pixar
Iron Man 3,1215.58,2013,Marvel
Captain America: Civil War,1153.3,2016,Marvel
Aquaman,1148.16,2018,DC
Spider-Man: Far From Home,1131.93,2019,Marvel
Captain Marvel,1131.42,2019,Marvel
The Dark Knight Rises,1081.04,2012,DC
Joker,1078.75,2019,DC
The Dark Knight,1006.22,2008,DC
Doctor Strange in the Multiverse of Madness,955.78,2022,Marvel
Spider-Man 3,890.87,2007,Marvel
Spider-Man: Homecoming,880.17,2017,Marvel
Batman v Superman: Dawn of Justice,873.63,2016,DC
Guardians of the Galaxy Vol. 2,863.76,2017,Marvel
Black Panther: Wakanda Forever,859.21,2022,Marvel
Venom,856.09,2018,Marvel
Thor: Ragnarok,853.98,2017,Marvel
Guardians of the Galaxy Vol. 3,845.56,2023,Marvel
Wonder Woman,821.85,2017,DC
Spider-Man,821.71,2002,Marvel
Spider-Man 2,788.98,2004,Marvel
Deadpool 2,785.05,2018,Marvel
Deadpool,783.11,2016,Marvel
Guardians of the Galaxy,773.33,2014,Marvel
The Batman,770.84,2022,DC
Thor: Love and Thunder,760.93,2022,Marvel
The Amazing Spider-Man,757.93,2012,Marvel
Suicide Squad,746.85,2016,DC
X-Men: Days of Future Past,746.05,2014,Marvel
The Matrix Reloaded,741.85,2003,The Wachowskis
Captain America: The Winter Soldier,714.42,2014,Marvel
The Amazing Spider-Man 2,708.98,2014,Marvel
Spider-Man: Across the Spider-Verse,690.52,2023,Marvel
Doctor Strange,677.72,2016,Marvel
Man of Steel,668.05,2013,DC
Justice League,657.92,2017,DC
Big Hero 6,657.82,2014,Marvel
Thor: The Dark World,644.57,2013,Marvel
The Incredibles,631.61,2004,Pixar
Hancock,624.39,2008,Vincent Ngo
Iron Man 2,623.93,2010,Marvel
Ant-Man and the Wasp,622.67,2018,Marvel
Logan,619.02,2017,Marvel
